timestep,state,action,next_state,reward,done,number_of_pods,cpu_util,latency_violation,latency,hpa_threshold,info
126,3,1,24,79.70708481652474,False,7,18.94992300436158,0,0.1867818272935995,20,
127,24,2,228,58.7304464781342,False,4,33.64661185480703,0,0.2271999361355606,40,
128,228,2,73,100,False,1,13.543152309101945,0,0.17335763469259094,60,
129,73,2,108,100,False,1,14.38376459545206,0,0.17184899614343585,80,
130,108,0,431,70.89648487435554,False,3,46.77806675268687,0,0.2219783105553149,60,
131,431,0,228,75.32973378465698,False,4,33.115744923499825,0,0.21714587401393615,40,
132,228,1,38,100,False,1,13.786077730612547,0,0.17742281255698644,40,
133,38,2,73,100,False,1,14.01975859562129,0,0.16059121493642237,60,
134,73,1,432,0,False,3,45.3785708166273,1,0.25210881162540866,60,
135,432,1,431,91.52309531575824,False,3,44.084629935725616,0,0.20572284959924503,60,
136,431,1,73,100,False,1,14.526697760582243,0,0.15868078654723256,60,
137,73,1,73,100,False,1,13.747128335661687,0,0.1742161367631644,60,
138,73,1,431,41.18408339661781,False,3,44.83130423644879,0,0.24132870845965415,60,
139,431,0,228,53.80277659301691,False,4,34.22315286598719,0,0.23016521786785096,40,
140,228,0,2,100,False,1,14.387527423709226,0,0.14687132933235983,20,
141,2,1,3,100,False,1,14.017177455379192,0,0.1544354562638444,20,
142,3,1,24,79.47214239358318,False,7,18.815282023420245,0,0.18224073164363278,20,
143,24,2,228,31.159591007918884,False,4,33.15021458124447,0,0.24790871441872153,40,
144,228,1,38,100,False,1,13.810876871395626,0,0.17257313140847702,40,
145,38,1,38,100,False,1,14.029951980558712,0,0.16346859520611068,40,
146,38,0,24,79.81286128361121,False,7,18.950627855653366,0,0.1894386905461363,20,
147,24,1,24,79.96331658597943,False,7,18.943686122991043,0,0.19532655492315257,20,
148,24,1,3,100,False,1,13.974342343294106,0,0.17676091840402727,20,
149,3,2,38,100,False,1,14.110885913639247,0,0.16405780816247434,40,
150,38,2,431,90.81930185336549,False,3,45.61281972441617,0,0.20676161404149598,60,
151,431,1,431,56.1000446812184,False,3,43.500068457360655,0,0.23080345232168017,60,
152,431,1,73,100,False,1,14.88335438043637,0,0.16200942548191463,60,
153,73,2,108,100,False,1,13.90853508870292,0,0.16760149874416927,80,
154,108,1,642,0,False,2,65.6932322879689,1,0.33546200047327285,80,
155,642,2,846,0,False,1,95.63083872448877,1,2.4317393722993774,100,
156,846,0,108,100,False,1,14.094357157687943,0,0.15927468080738524,80,
157,108,0,73,100,False,1,14.000808076404335,0,0.1720354673198521,60,
158,73,0,228,37.78529947520971,False,4,33.11982228051412,0,0.24138422099893359,40,
159,228,1,228,46.9820358726206,False,4,33.69673664935005,0,0.2345203551461255,40,
160,228,0,3,100,False,1,13.671694556011792,0,0.17051721023833186,20,
161,3,2,38,100,False,1,14.236343249390334,0,0.16028486802906616,40,
162,38,2,430,93.24876934561175,False,3,45.38262013467903,0,0.19290308970841744,60,
163,430,1,432,0,False,3,47.344497749804276,1,0.2543243446906716,60,
164,432,0,38,100,False,1,14.37688359079011,0,0.16261771125219232,40,
165,38,2,73,100,False,1,13.952686755902354,0,0.1761049273394765,60,
166,73,0,228,48.83550511254141,False,4,31.51003353695384,0,0.23329579173472859,40,
167,228,2,431,67.33278964897515,False,3,45.03263324770405,0,0.22409143947209584,60,
168,431,1,73,100,False,1,14.003229227786928,0,0.177206062387088,60,
169,73,1,73,100,False,1,14.649306898515844,0,0.17544358287711662,60,
170,73,0,229,0,False,4,33.69181195206256,1,0.27753556834057647,40,
171,229,2,431,43.4227757439579,False,3,45.2471040950546,0,0.23950159519217032,60,
172,431,0,38,100,False,1,14.414090817408473,0,0.168338061417843,40,
173,38,1,38,100,False,1,13.843540226951168,0,0.18007455001389508,40,
174,38,0,24,79.6082524110503,False,7,18.743873238520987,0,0.18470823667587952,20,
175,24,1,24,79.47694220744076,False,7,19.109897711741162,0,0.18232196357434116,20,
176,24,1,3,100,False,1,13.73534826760767,0,0.1805794965366954,20,
177,3,1,3,100,False,1,14.48225900255621,0,0.16574808610332636,20,
178,3,2,228,66.9585617382727,False,4,33.34924909570692,0,0.22233913870255934,40,
179,228,1,228,47.102415080817394,False,4,34.22647413734368,0,0.23443966464632543,40,
180,228,2,73,100,False,1,14.061380001466963,0,0.17213147387455974,60,
181,73,0,38,100,False,1,13.926376470095175,0,0.16714478094664026,40,
182,38,2,432,0,False,3,44.0834622984734,1,0.2593818060787736,60,
183,432,0,228,72.62085606097696,False,4,33.72710920245241,0,0.21888725422844274,40,
184,228,0,3,100,False,1,14.205641318000993,0,0.16670525907195657,20,
185,3,2,38,100,False,1,14.577179631145043,0,0.17979533505521772,40,
186,38,2,431,0,False,3,44.96216648374253,1,0.2511410784895724,60,
187,431,1,431,93.26515316223399,False,3,44.900616899685936,0,0.20110367403073104,60,
188,431,2,108,100,False,1,14.612717717791936,0,0.16276101348191205,80,
189,108,0,73,100,False,1,14.459007551352993,0,0.16434376631617117,60,
190,73,1,431,91.60871475842944,False,3,42.67425080098089,0,0.20558412796520997,60,
191,431,1,431,35.905231712357235,False,3,46.18499373811207,0,0.24632805853726805,60,
192,431,2,108,100,False,1,14.888428736910464,0,0.15018676725889965,80,
193,108,2,143,100,False,1,13.964990187139728,0,0.16600478230365576,100,
194,143,2,846,0,False,1,93.04768141463299,1,2.359655031516657,100,
195,846,2,846,0,False,1,86.60121870153951,1,2.4878190109112857,100,
196,846,1,143,100,False,1,13.947197491527085,0,0.17867589746005913,100,
197,143,0,108,100,False,1,14.362133795321167,0,0.16810617056577165,80,
198,108,2,846,0,False,1,93.71016047519477,1,2.4215311920809044,100,
199,846,2,846,0,False,1,92.29388488947492,1,2.3694175839740708,100,
200,846,1,143,100,False,1,14.703064706702666,0,0.17247304788518766,100,
201,143,2,143,100,False,1,14.09930855520853,0,0.17192473870473554,100,
202,143,2,846,0,False,1,88.6436703205747,1,2.405694386460097,100,
203,846,0,643,0,False,2,63.29137223666384,1,0.5055173394287422,80,
204,643,2,143,100,False,1,14.148679094300936,0,0.16978240922352303,100,
205,143,0,108,100,False,1,14.115584473409609,0,0.1752028625487284,80,
206,108,1,643,0,False,2,63.293118852912706,1,0.44145595503322455,80,
207,643,0,431,47.15376184401978,False,3,43.16290174874902,0,0.2367074871237221,60,
208,431,1,73,100,False,1,13.970793031376289,0,0.1728613658986069,60,
209,73,2,108,100,False,1,14.018278493310474,0,0.1710652735208422,80,
210,108,1,643,0,False,2,63.33221068556155,1,0.39449511642563934,80,
211,643,0,432,0,False,3,43.49489397907116,1,0.27842858189884245,60,
212,432,2,108,100,False,1,14.429256669306982,0,0.15627385964920357,80,
213,108,2,143,100,False,1,14.426105417130307,0,0.1715139761974098,100,
214,143,0,642,0,False,2,68.32889111774979,1,0.332818244928513,80,
215,642,0,432,0,False,3,46.41014335005932,1,0.25489923364378675,60,
216,432,2,108,100,False,1,13.960896875835262,0,0.1769699456989269,80,
217,108,1,108,100,False,1,14.303816689713504,0,0.154261954416001,80,
218,108,1,643,0,False,2,66.73110658799682,1,0.4581084190289401,80,
219,643,0,431,63.86829347705444,False,3,45.22942570769303,0,0.2261326047990364,60,
220,431,2,108,100,False,1,14.165560724230165,0,0.1675169625301442,80,
221,108,2,143,100,False,1,14.193427183050055,0,0.17599469496198,100,
